title,brand,model,price,year,body_type,volume,fuel,gearbox,type
BMW 750,BMW,750,5550000,2006,седан,4.8,бензин,автомат,Б/у
BMW 518,BMW,518,1600000,1991,седан,1.8,бензин,механика,Б/у
BMW 540,BMW,540,5500000,1992,универсал,4.6,бензин,механика,Б/у
BMW X6,BMW,X6,9000000,2010,кроссовер,3.0,дизель,автомат,Б/у
BMW 328,BMW,328,1700000,1993,седан,2.8,бензин,механика,Б/у
BMW 530,BMW,530,16900000,2017,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,1400000,1997,седан,2.5,бензин,механика,Б/у
BMW 525,BMW,525,1800000,1994,седан,2.8,бензин,механика,Б/у
BMW X5,BMW,X5,17200000,2018,кроссовер,3.0,бензин,автомат,Б/у
BMW 328,BMW,328,2700000,1996,седан,2.8,бензин,автомат,Б/у
BMW X5,BMW,X5,17000000,2014,кроссовер,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,11700000,2015,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,9200000,2015,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,1300000,1993,седан,2.0,бензин,механика,Б/у
BMW 528,BMW,528,3200000,1996,седан,2.8,бензин,механика,Б/у
BMW 530,BMW,530,18000000,2018,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,7000000,2012,кроссовер,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,2500000,1993,седан,3.0,газ-бензин,автомат,Б/у
BMW X3,BMW,X3,31000000,2022,кроссовер,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,52000000,2023,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,2600000,1994,седан,2.0,бензин,автомат,Б/у
BMW X7,BMW,X7,42000000,2022,кроссовер,3.0,бензин,автомат,Б/у
BMW 535,BMW,535,13500000,2010,седан,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,3500000,1993,седан,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,18000000,2016,кроссовер,4.4,бензин,автомат,Б/у
BMW 540,BMW,540,16000000,2017,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,4000000,2000,кроссовер,4.4,бензин,автомат,Б/у
BMW 325,BMW,325,1111111,1992,седан,2.5,бензин,механика,Б/у
BMW X6,BMW,X6,8000000,2008,кроссовер,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,5000000,2003,универсал,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,4500000,2004,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,2900000,1996,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,11000000,2010,кроссовер,3.0,бензин,автомат,Б/у
BMW Gran Turismo,BMW,Gran Turismo,8500000,2009,лифтбек,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,6000000,2007,седан,3.0,бензин,автомат,Б/у
BMW 740,BMW,740,9800000,2010,седан,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,10200000,2011,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,1350000,1992,седан,2.0,бензин,механика,Б/у
BMW 730,BMW,730,5400000,2006,седан,3.0,бензин,автомат,Б/у
BMW 525,BMW,525,1700000,1992,седан,2.5,бензин,механика,Б/у
BMW 520,BMW,520,21500000,2022,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,2700000,1999,седан,2.5,бензин,механика,Б/у
BMW 528,BMW,528,2200000,1991,седан,2.8,бензин,механика,Б/у
BMW X5,BMW,X5,60999999,2024,кроссовер,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,16500000,2017,седан,2.0,бензин,автомат,Б/у
BMW X6,BMW,X6,18500000,2016,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,2500000,1992,седан,2.0,бензин,механика,Б/у
BMW 520,BMW,520,2500000,1995,седан,2.0,бензин,автомат,Б/у
BMW 525,BMW,525,2800000,1993,седан,2.5,бензин,механика,Б/у
BMW 530,BMW,530,16800000,2017,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,46000000,2023,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,1550000,1993,седан,2.0,бензин,механика,Б/у
BMW 528,BMW,528,9000000,2014,седан,2.0,бензин,автомат,Б/у
BMW 540,BMW,540,4800000,1993,седан,4.0,бензин,механика,Б/у
BMW 525,BMW,525,2800000,1983,седан,2.5,бензин,механика,Б/у
BMW 435,BMW,435,14500000,2015,лифтбек,3.0,бензин,автомат,Б/у
BMW 320,BMW,320,1000000,1992,седан,2.0,бензин,механика,Б/у
BMW X7,BMW,X7,74000000,2024,кроссовер,3.0,бензин,автомат,Б/у
BMW 530,BMW,530,4900000,2000,седан,3.0,бензин,автомат,Б/у
BMW 528,BMW,528,2000000,1996,седан,2.8,бензин,автомат,Б/у
BMW 525,BMW,525,2200000,1991,седан,2.5,бензин,механика,Б/у
BMW 318,BMW,318,850000,1990,седан,1.8,бензин,механика,Б/у
BMW X1,BMW,X1,24000000,2024,кроссовер,2.0,бензин,робот,Б/у
BMW 525,BMW,525,3850000,2001,седан,2.5,бензин,автомат,Б/у
BMW X6,BMW,X6,20000000,2015,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,1200000,1991,седан,2.0,бензин,механика,Б/у
BMW 540,BMW,540,29999999,2021,седан,3.0,бензин,автомат,Б/у
BMW 318,BMW,318,2500000,2000,седан,1.9,бензин,механика,Б/у
BMW 330,BMW,330,10000000,2017,седан,2.0,бензин,автомат,Б/у
BMW 530,BMW,530,6200000,2006,седан,3.0,бензин,автомат,Б/у
BMW 318,BMW,318,5500000,2003,седан,2.0,бензин,механика,Б/у
BMW 528,BMW,528,2700000,1997,седан,2.8,бензин,автомат,Б/у
BMW 728,BMW,728,3000000,2000,седан,2.8,бензин,автомат,Б/у
BMW 528,BMW,528,3082242,1998,седан,2.8,бензин,автомат,Б/у
BMW 318,BMW,318,5100000,2009,седан,2.0,бензин,автомат,Б/у
BMW 316,BMW,316,2100000,1995,седан,1.6,бензин,механика,Б/у
BMW 650,BMW,650,25000000,2013,седан,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,2500000,1996,седан,2.0,бензин,механика,Б/у
BMW X5,BMW,X5,5200000,2001,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,2000000,1996,седан,2.0,бензин,механика,Б/у
BMW 525,BMW,525,8000000,2008,седан,3.0,бензин,автомат,Б/у
BMW X3,BMW,X3,35000000,2023,кроссовер,2.0,бензин,автомат,Б/у
BMW 730,BMW,730,23300000,2018,седан,3.0,дизель,автомат,Б/у
BMW 528,BMW,528,8800000,2010,седан,3.0,бензин,автомат,Б/у
BMW 118,BMW,118,3500000,2007,хэтчбек,2.0,бензин,автомат,Б/у
BMW 750,BMW,750,2500000,2012,седан,4.4,бензин,автомат,Б/у
BMW 525,BMW,525,1200000,1992,седан,2.5,бензин,механика,Б/у
BMW X3,BMW,X3,5500000,2004,кроссовер,3.0,бензин,автомат,Б/у
BMW X6 M,BMW,X6 M,29000000,2016,кроссовер,4.4,бензин,автомат,Б/у
BMW 520,BMW,520,1500000,1992,седан,2.0,бензин,механика,Б/у
BMW 525,BMW,525,3500000,1996,седан,2.5,бензин,автомат,Б/у
BMW X5,BMW,X5,41500000,2022,кроссовер,3.0,бензин,автомат,Б/у
BMW X5,BMW,X5,16500000,2017,кроссовер,3.0,бензин,автомат,Б/у
BMW 520,BMW,520,850000,1991,седан,2.0,бензин,механика,Б/у
BMW 525,BMW,525,1999999,1991,универсал,2.8,бензин,механика,Б/у
BMW 320,BMW,320,12400000,2017,седан,2.0,бензин,автомат,Б/у
BMW X5,BMW,X5,6500000,2005,кроссовер,3.0,бензин,автомат,Б/у
BMW 730,BMW,730,4000000,1995,седан,3.0,бензин,механика,Б/у
BMW 318,BMW,318,1000000,1993,седан,1.8,бензин,механика,Б/у
BMW 528,BMW,528,2700000,1998,седан,2.8,бензин,автомат,Б/у
BMW M8,BMW,M8,67000000,2021,купе,4.4,бензин,автомат,Б/у
BMW 530,BMW,530,17500000,2018,седан,2.0,бензин,автомат,Б/у
BMW 750,BMW,750,5500000,2008,седан,4.8,бензин,автомат,Б/у
BMW X5,BMW,X5,16000000,2015,кроссовер,3.0,бензин,автомат,Б/у
